"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"313",4.79993378155621,4.75425973969153,4.8456078234209,4.73008136243399,4.86978620067843
"314",4.79984834633958,4.73118472474081,4.86851196793835,4.6948363991032,4.90486029357597
"315",4.79975154301642,4.70954138729776,4.88996169873509,4.66178701548436,4.93771607054848
"316",4.79965066461852,4.68744697961917,4.91185434961786,4.62804993668531,4.97125139255172
"317",4.79955211622074,4.66442867620575,4.93467555623574,4.59289864786498,5.00620558457651
"318",4.7994611845806,4.64053083839939,4.95839153076182,4.55639819520078,5.04252417396042
"319",4.79938190725736,4.61604072080709,4.98272309370762,4.51898575934842,5.07977805516629
"320",4.79931703341175,4.59135308405256,5.00728098277094,4.48126361926488,5.11737044755861
"321",4.79926806443488,4.56688822345677,5.03164790541299,4.44387376638594,5.15466236248382
"322",4.79923535980431,4.54303960770518,5.05543111190344,4.40741776884138,5.19105295076723
"323",4.79921829207438,4.52014158406022,5.07829500008854,4.37240729879272,5.22602928535604
"324",4.79921543456773,4.49845190564905,5.0999789634864,4.3392373108679,5.25919355826755
"325",4.79922476598849,4.47814546434662,5.12030406763037,4.30817634911741,5.29027318285958
"326",4.79924387763477,4.45931635552756,5.13917139974199,4.27936959508809,5.31911816018146
